Departamento;id
Ahuachapán;SV-AH
Cabañas;SV-CA
Chalatenango;SV-CH
Cuscatlán;SV-CU
La Libertad;SV-LI
La Paz;SV-PA
La Unión;SV-UN
Morazán;SV-MO
San Miguel;SV-SM
San Salvador;SV-SS
San Vicente;SV-SV
Santa Ana;SV-SA
Sonsonate;SV-S0
Usulután;SV-US
